regiao,operacao,original,temperatura,temperaturatermometro,amplitude,status,dataref,year,month,day
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,29.2,20.6,10.5,ErroTOCF,2024-04-28,2024,4,28
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,29.2,20.6,10.5,ErroTOCF,2024-04-28,2024,4,28
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,28.5,20.6,9.8,ErroTOCF,2024-04-28,2024,4,28
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,28.5,20.6,9.8,ErroTOCF,2024-04-28,2024,4,28
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,28.1,20.6,9.4,ErroTOCF,2024-04-28,2024,4,28
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,28.1,20.6,9.4,ErroTOCF,2024-04-28,2024,4,28
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,27.3,20.6,8.6,ErroTOCF,2024-04-28,2024,4,28
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,27.3,20.6,8.6,ErroTOCF,2024-04-28,2024,4,28
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,26.7,20.6,8.0,ErroTOCF,2024-04-28,2024,4,28
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,26.7,20.6,8.0,ErroTOCF,2024-04-28,2024,4,28
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,26.2,20.6,7.5,ErroTOCF,2024-04-28,2024,4,28
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,45.7,45.7,27.0,ErroTOCF,2024-04-28,2024,4,28
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,23.6,45.7,4.9,ErroTOCF,2024-04-28,2024,4,28
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,23.3,45.7,4.6,ErroTOCF,2024-04-28,2024,4,28
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,23.3,45.7,4.6,ErroTOCF,2024-04-28,2024,4,28
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,19.3,19.3,0.0,ErroTOCF,2024-04-29,2024,4,29
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,19.1,19.3,0.0,ErroTOCF,2024-04-29,2024,4,29
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,18.9,19.3,0.0,ErroTOCF,2024-04-29,2024,4,29
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,18.9,19.3,0.0,ErroTOCF,2024-04-29,2024,4,29
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,19.1,19.3,0.2,ErroTOCF,2024-04-29,2024,4,29
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,19.1,19.3,0.2,ErroTOCF,2024-04-29,2024,4,29
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,19.4,19.3,0.5,ErroTOCF,2024-04-29,2024,4,29
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,19.4,19.3,0.5,ErroTOCF,2024-04-29,2024,4,29
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,19.7,19.3,0.8,ErroTOCF,2024-04-29,2024,4,29
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,20.1,19.3,1.2,ErroTOCF,2024-04-29,2024,4,29
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,20.1,19.3,1.2,ErroTOCF,2024-04-29,2024,4,29
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,28.3,28.3,9.4,ErroTOCF,2024-04-29,2024,4,29
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,33.1,28.3,14.2,ErroTOCF,2024-04-29,2024,4,29
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,33.1,28.3,14.2,ErroTOCF,2024-04-29,2024,4,29
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,35.8,28.3,16.9,ErroTOCF,2024-04-29,2024,4,29
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,35.8,28.3,16.9,ErroTOCF,2024-04-29,2024,4,29
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,37.3,28.3,18.4,ErroTOCF,2024-04-29,2024,4,29
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,37.3,28.3,18.4,ErroTOCF,2024-04-29,2024,4,29
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,38.5,28.3,19.6,ErroTOCF,2024-04-29,2024,4,29
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,38.5,28.3,19.6,ErroTOCF,2024-04-29,2024,4,29
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,40.3,28.3,21.4,ErroTOCF,2024-04-29,2024,4,29
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,40.3,28.3,21.4,ErroTOCF,2024-04-29,2024,4,29
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,42.1,28.3,23.2,ErroTOCF,2024-04-29,2024,4,29
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,42.1,28.3,23.2,ErroTOCF,2024-04-29,2024,4,29
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,43.3,28.3,24.4,ErroTOCF,2024-04-29,2024,4,29
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,43.3,28.3,24.4,ErroTOCF,2024-04-29,2024,4,29
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,44.7,28.3,25.8,ErroTOCF,2024-04-29,2024,4,29
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,44.7,28.3,25.8,ErroTOCF,2024-04-29,2024,4,29
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,45.7,28.3,26.8,ErroTOCF,2024-04-29,2024,4,29
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,45.7,28.3,26.8,ErroTOCF,2024-04-29,2024,4,29
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,46.5,28.3,27.6,ErroTOCF,2024-04-29,2024,4,29
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,46.5,28.3,27.6,ErroTOCF,2024-04-29,2024,4,29
